Date,Territoire,Sujet,Thème,Nbre d'article,Qualité du retour,Média,Articles,Qualité du retour2,Tonalité,sentiment,factuel
01/02/2023,Pas-de-Calais,Une maison à l'abandon détruite dans un incendie,divers,2.0,factuel,La voix du Nord ,"Une maison à l'abandon détruite dans un incendie N
OYELLES-GODAULT. Il
est 11heures, ce di‐
manche 1erjanvier, et une fu‐
mée blanche s'élève au-dessus
de Noyelles-Godault. Un incen‐
die vient de se déclarer rue du
8-Mai-1945. C'est une grande
bâtisse à l'abandon qui est tou‐
chée. «Ça doit bien faire cinq
ans qu'elle n'a pas été occu‐
pée», estime une riveraine.
Une histoire d'héritage qui a
mal tourné, selon les dires du
voisinage... Toujours est-il que
les flammes ont ravagé
l'intérieur de la maison, dans laquelle se trouvait encore une
importante quantité de
meubles.
Longues opérations
Le sinistre, violent, a entraîné
l'effondrement d'une partie du
toit, ce qui a rendu la mission
des sapeurs-pompiers (une
quinzaine, venus d'Hénin-Beau‐
mont et Oignies) délicate. Il a
fallu déployer la grande
échelle, installer une lance en
hauteur, avant d'attaquer le feu
par le sol. Une reconnaissance
a également été effectuée pour
s'assurer qu'il n'y avait per‐
sonne dans la propriété. Les
opérations se sont étirées jus‐
qu'en milieu de journée. Les
équipes d'Enedis étaient aussi
sur place. On ignorait hier
l'origine exacte du sinistre. La
maison à l'abandon était toute‐
fois régulièrement squattée,
selon les voisins. Une tente se
trouvait d'ailleurs à l'entrée du
jardin.Th. D. ■",Factuel,factuel,neutre,True
01/02/2023,Pas-de-Calais ,Trois familles relogés après un court-circuit ,divers,1.0,factuel,La voix du Nord ,"Trois familles relogées après un court-circuit
lundi 2 janvier 2023
Édition(s) : Calais
Page 5203
181 mots - 1 min
C
ALAIS. C'est une fuite
d'eau en toiture qui est à
l'origine du sinistre: l'eau a
coulé sur le compteur élec‐
trique privé de l'habitation si‐
tuée au 44, rue Rouget-de Lisle, à Calais, samedi vers
11h30. L'habitation compte
trois niveaux, avec un loge‐
ment par niveau. Frédéric Hé‐
not, l'élu d'astreinte à Calais,
était présent: «Les pompiers
étaient sur les lieux, ainsi
qu'Enedis, qui a coupé
l'alimentation électrique car il
y avait un risque de départ
d'incendie. J'ai appelé le pro‐
priétaire qui est venu sur
place.» Ainsi privés
d'électricité, les habitants ont
dû être relogés: «Au rez-de chaussée, un couple et un en‐
fant ont été relogés dans la fa‐
mille; au premier étage, le pro‐
priétaire a trouvé une solution
dans un hôtel de Calais pour
un monsieur de 89 ans au
moins jusqu'à lundi. Au
deuxième étage, un monsieur
seul a été relogé dans sa fa‐
mille», relate l'élu.Isabelle Ho‐
dey ■",Factuel,factuel,neutre,True
01/02/2023,Nord,"Suite à une panne, 179 foyers privés de courant",reseau,1.0,factuel negatif,La voix du Nord ,"Suite à une panne, 179 foyers privés de courant D
OMPIERRE-SUR-HELPE.
Chez Mireille, tout roule!
La gérante du salon de coiffure
à l'entrée de la rue d'En-haut
n'a pas été touchée par
l'importante panne d'électricité
survenue tôt samedi matin.
«On a pu ouvrir normalement»,
confie la gérante. L'une des
clientes a ressenti des micro‐
coupures à l'aube. «Des amis
qui habitent dans le secteur de
la gare n'avaient plus aucune
alimentation». Un défaut sur
des câbles électriques souter‐
rains a provoqué des coupures
d'électricité un peu partout, en
particulier dans les rues d'En haut et Cornette. «Ce n'est pas
lié au vent, explique-t-on chez
Enedis. Il s'agit d'une panne
qui a touché 179 foyers à par‐
tir de 8 heures.» Vers 9 h 30,
des réseaux relais ont permis
de rétablir l'alimentation chez
la majorité des clients, 59 habi‐
tations étaient encore tou‐
chées. Pendant ce temps, plu‐
sieurs véhicules Enedis sont in‐
tervenus pour localiser le tron‐
çon de câbles touché par cette
anomalie. Les techniciens
étaient mobilisées vers 12h30
sur les armoires de la route de
Monceau. Tout est rentré dans
l'ordre dans l'après-midi. M.
B. ■",Factuel négatif ,factuel négatif ,negatif,True
01/02/2023,Pas-de-Calais,"Plus de coupures d'éléctricté, mais des dégâts à indemniser ",reseau,2.0,negatif,La voix du Nord ,"Plus de coupures d'électricité, mais des dégâts à indemniserpar Isabelle Mastin be‐ thune@lavoixdunord.fr Ri‐ chebourg. L'engagement a été tenu tel qu'Enedis nous l'avait annoncé: lundi 19décembre, «Enedis a entrepris des tra‐ vaux, ça a duré trois jours, confirme le maire de Riche‐ bourg, Jérôme Demulier. Ils ont remplacé quatre câbles an‐ ciens. Les plots étaient encore en verre ou en porcelaine». Des câbles torsadés ont succé‐ dé aux fils à nu. Le genre à mieux résister au froid... et, surtout, plus adapté à la confi‐ guration des rues du MoulinL'Avoué et du Pontd'Engrebant, victimes de pannes devenues récurrentestrois nuits de suite mi-dé‐ cembre, ce qui a entraîné le coup de gueule de l'élu et de riverains. « Pas de remontées d'incidEnts» «Il y a eu des constructions. Les gens utilisent de plus en plus de pompes à chaleur qui consomment beaucoup. Nous leur avons demandé de tenir compte de la densité de popu‐ lation et de la puissance consommée.» Enedis les a en‐ tendus. Résultat? «Depuis une semaine, il n'y a plus eu de coupures et je n'ai pas eu de remontées d'incidents.» Le chapitre n'est pas clos pour au‐ tant. Lundi, alors que les tra‐ vaux débutaient, une réunion en visio a eu lieu entre les Ri‐ chebourgeois et Enedis, pour‐ suit le maire. «L'heure est à évaluer les dégâts matériels. Une hotte, un four... C'est en cours de recensement.» Outre des particuliers victimes d'effets de surtension sur des appareils électriques, nous avions aussi évoqué le cas de Frédéric Godart, le boulanger. Lui aussi se dit soulagé des tra‐ vaux, empêché qu'il a été de travailler trois nuits de suite, et contraint donc de fermer boutique trois journées. «Je n'ai plus de souci et c'est du costaud, ils ont été réactifs. À part si les poteaux tombent à terre sous le vent, ça devrait aller!» Quand on l'appelle, ce mercredi, il vient de raccro‐ cher, «j'étais au téléphone avec un expert» pour parler indem‐ nisation. Un de ses fours pro‐ fessionnels a détesté la surten‐ sion et c'est loin d'être le seul. «J'en suis à environ 8000 de préjudice matériel à cause des pannes. Sans compter les trois jours de fermeture, les com‐ mandes que je n'ai pas pu ho‐ norer, les clients partis ailleurs, les matières pre‐ mières perdues... Cela se chiffre sur des justificatifs de factures et avec les calculs de mon expert-comptable sur le manque à gagner.» Un Préjudice moral réel Et puis, il y a le préjudice mo‐ ral, plus difficile à quantifier mais réel. «Je n'étais pas bien, j'en ai pleuré en pensant à mes clients.» Il n'est pas sûr qu'Enedis transige sur l'aspect moral mais pour le reste, «ils ont reconnu la surtension. Leur assurance devrait endosser le préjudice matériel». ",Négatif,négatif,negatif,False
01/02/2023,Pas-de-Calais,Les décharges remplacés par deux centrales photovoltaiques ,transition ecologique,1.0,factuel,La voix du Nord ," les décharges remplacées par deux centrales
photovoltaïques?
Coupelle-Vieille et Ergny.
Le projet n'en est qu'à ses
débuts, il nécessite des études
détaillées et ses investisse‐
ments éventuels ne sont pas
encore définis, d'autant qu'il
faudra vérifier la possibilité de
raccordement par Enedis. Mais
une étude de faisabilité a été
engagée en 2021 avec Cohé‐
rence énergie pour déterminer
le potentiel de ces deux empla‐
cements au sol. En 2022, la so‐
ciété Tandem SAS a soumis
une proposition pour codéve‐
lopper ce projet de centrales
ayant pour but la revente de
l'électricité localement. Pour le
lancement de ce partenariat, le
budget est estimé à 25200 ,
soit 12400 pour la CCHPM
avec la prestation de géomètre
et la pré-étude de raccorde‐
ments Enedis et 12800 pour
Tandem SAS avec des études
techniques et économiques
pour établir un avant-projet
sommaire. C'est le bureau
d'études Cohérence énergie
qui sera chargé de ce travail.
Présenté lors du dernier
conseil communautaire de la
CCHPM, lundi 19 décembre, le
projet a été adopté par les
élus. «Comme nous l'avons
déjà fait pour plusieurs bâti‐
ments communaux en y pla‐
çant des panneaux photovol‐
taïques, ce projet nous permet‐
tra de poursuivre nos écono‐
mies d'énergie. Grâce à ces im‐
plantations, notre facture éner‐
gétique a déjà été allégée d'un
montant de 30000 », investis‐
sements déduits, a rappelé le
président Philippe Ducrocq.
PATRICK LAMOURETTE
(CLP) ",Factuel,factuel,neutre,True
01/02/2023,Pas-de-Calais,Une tempête Eunice qui à laissé des traces ,aleas climatiques,1.0,positif,La voix du Nord ,"Une tempête Eunice qui a laissé des traces Vendredi 18 février. La
tempête Eunice balaie le
Montreuillois en pleine jour‐
née, laissant derrière elle
d'importants dégâts. Une ra‐
fale à 118,8 kilomètres/heure
est enregistrée dans l'après midi au Touquet... C'est
d'ailleurs dans la station qu'un
agent de la ville a été grave‐
ment blessé à la tête, et son
collègue plus légèrement.
Ailleurs, dans le Montreuillois,
les dégâts sont restés maté‐
riels, mais impressionnants et
ce, de Berck à Étaples en pas‐
sant par Montreuil ou encore
Hesdin avec de nombreuses
chutes d'arbres, des toitures
arrachées, des bâtiments fragi‐
lisés. De nombreuses coupures
électriques ont également tou‐
ché le territoire et il a fallu le
renfort d'équipes Enedis, arri‐
vées de Corrèze les jours sui‐
vants, pour remettre en état
l'intégralité du réseau. Jus‐
qu'au mois de mai, le palais
des Sports de Berck est resté
fermé en raison des dégâts. ■",positif,positif,positif,False
01/02/2023,Pas-de-Calais,Le feu das un immeuble désaffecté ,divers,2.0,factuel,La voix du Nord ,"Le feu dans un immeuble désaffecté MONTIGNY-EN-GO‐
HELLE. Pompiers, po‐
lice et équipes d'Enedis ont été
mobilisés samedi en fin
d'après-midi au pied d'une rési‐
dence de la ZAC des Deux Villes, à Montigny-en-Gohelle,
rue du Colonel-Fabien. Un im‐
meuble désaffecté, vide de tout
locataire, accolé à la résidence
Bourgogne. Vers 17heures, une
fumée noire s'est dégagée d'un
appartement du deuxième
étage, entraînant l'alerte. Les
sapeurs-pompiers d'Hénin Beaumont ont facilement maî‐
trisé ce feu de détritus, vrai‐
semblablement causé de façon
volontaire. Un fourgon incen‐
die et la grande échelle ont été
nécessaires. Aucune évacua‐
tion n'a dû être effectuée, et
aucun blessé n'était à déplo‐
rer.Th. D. 
",Factuel,factuel,neutre,True
01/04/2023,Nord,Enedis renouvelle son réseau dans plusieurs rues ,raccordement,4.0,factuel,Nord Littoral ,"Enedis renouvelle son réseau dans plusieurs rues
Circulation Enedis renou‐ velle son réseau dans plu‐ sieurs rues À partir d'aujourd'hui jusqu'au vendre‐ di 31 mars, Enedis doit renou‐ veler son réseau dans les rues suivantes: rue de Thermes, entre la rue des Prêtres et la rue Berthois, au droit des tra‐ vaux, la circulation sera res‐ treinte et le stationnement in‐ terdit, avec vitesse limitée à 30 km/h. Du côté de la rue du Commandant Bonningue, entre la rue Berthois et la rue de Lis‐ bonne, au droit des travaux, la circulation sera restreinte et le stationnement interdit. Rue des Prêtres au droit des tra‐ vaux, stationnement et circula‐ tion seront interdits. Une dé‐ viation dans les rues adja‐ centes sera mise en place, tout comme la rue de Madrid, entre la rue d'Ostende et la rue du Commandant-Bonningue. In‐ cendie Un feu de benne à la déchetterie rue d'Épinal Vers 9h, les pompiers de Calais, sui‐ vis par ceux de Marck, arrivent à la déchetterie rue d'Épinal. En une heure, le feu était cir‐ conscrit. L'origine de l'incendie est pour l'heure inconnue. ■",Factuel  ,factuel  ,neutre,True
01/04/2023,Pas-de-Calais,Des coupures de courant en raison des travaux ,reseau,1.0,factuel,L'Avenir de l'Artois ,"Des coupures de courant en raison des travauxFouquières-lès-Lens Des coupures de courant en raison des travaux Enedis in‐ forme ses usagers d'une cou‐ pure de courant pour cause de travaux. Celle-ci aura lieu jeudi 19janvier, ainsi que vendredi 20janvier. Cette coupure se si‐ tuera entre 8h30 et 13h dans les rues suivantes: -Rue de Col‐ mar: du 1 au 37, 2, du 6 au 12, du 16 au 38. -Rue de Stras‐ bourg: du 1 au 15, du 19 au 21, du 2 au 16 et du 20 au 26. Ven‐ din-le-Vieil Des travaux d'enfouissement des réseaux secs Les travaux rue Delory rentrent dans la phase nº4. Ils consistent à l'enfouissement des réseaux secs. Les travaux sont prévus du 7 décembre au 10 février. Les rues concernées sont les suivantes: du carrefour Pierre-Legrain vers le pont avec intégration de la voie nou‐ velle et de la rue Charlie-Leire. Vimy Un nouveau médecin en ville Depuis le 26 décembre, il est possible de prendre un ren‐ dez-vous avec le docteur Tan‐ guy. Le praticien a démarré ses consultations dès le 2janvier. Les prises de rendez-vous se feront au 0366120079 ou par Doctolib. Le docteur accueille‐ ra toutes les personnes, dans la limite des places disponibles et, plus particulièrement, les personnes sans médecin trai‐ tant demeurant à Vimy ou dans les villages périphériques. ■",Factuel,factuel,neutre,True
01/05/2023,Nord,les coupures d'éléctricté inquiètent ,reseau,1.0,factuel,Le courrier de fourmis,"COMMENT SE PRÉPARE-T-ON ?
Les coupures d’électricité inquiètent
SUD-AVESNOIS A partir de janvier, des coupures d’électricité pourraient interve‐
nur, sur de courtes périodes. Alors, à l’hôpital, dans les maisons de retraite ou en‐
core dans les supermarchés, on anticipe.
Le centre hospitalier de
Fourmies dispose de
deux groupes électro‐
gènes très puissants. Il
vient d’en acquérir un
pour la maison de re‐
traite Victor-Delloue.
a crise énergétique ne
touche pas encore à sa fin,
mais la situation semble
s’améliorer. Pour autant, la
possibilité de coupures
d’électricité n’est pas totale‐
ment exclue. Pour préserver au
mieux le réseau électrique en
cas de tension, le gouverne‐
ment envisage en effet des cou‐
pures d’électricité localisées.
Ces coupures pourraient débu‐
ter en janvier selon des ho‐
raires bien définis : entre 8 h
et 13 h ainsi qu’entre 18 h et
20 h. La durée de la coupure
ne devrait pas dépasser deux
heures. Comment s’y prépare t-on ?DANS LES
SUPERMARCHÉS 
Sophie Sulfourt, directrice
d’Intermarché Fourmies et Gla‐
geon attend d’en savoir plus. «
Pour le moment, nous n’avons
pas d’informations si on va être
concerné par les coupures ou
non ». Les magasins ne sont
pas dotés de groupe électro‐
gène, alors une coupure
d’électricité pourrait avoir de
lourdes conséquences. En ce
qui concerne les réfrigérateurs
et les congélateurs, « ce n’est
pas vraiment un problème si
les coupures ne durent pas
plus de deux heures ». Cepen‐
dant, « nous serons contraints
de fermer le magasin. Sans lu‐
mière, on ne peut pas accueillir
les clients dans le noir. Et les
caisses ne fonctionneront pas
».
UNE MICRO
COUPURE QUI A
PROVOQUÉ UN
GROS BUG 
Sophie Sulfourt est particuliè‐
rement inquiète, car elle a fait
l’expérience d’une coupure
d’électricité le 29 octobre. « Ce
n’était qu’une micro coupure
de quelques secondes, mais
cela a engendré un gros bug
informatique. Le serveur a été endommagé. La date est pas‐
sée du 29 octobre au 29 no‐
vembre. Ça nous disait que l’on
n’avait rien vendu pendant un
mois. C’était une vraie catas‐
trophe. On a dû repasser
toutes les commandes à la
main. Il nous a fallu près de
trois semaines pour tout re‐
mettre à jour ». C’est pourquoi
« ça a de quoi nous inquiéter ».
Et d’espérer, étant donné que
le supermarché fourmisien se
trouve près de l’hôpital, « on
espère échapper aux coupures
».
Quand au magasin de Glageon,
« il faudra bien s’adapter ».
A L’HÔPITAL ET LES
MAISONS DE
RETRAITE 
Les hôpitaux font partie des
établissements protégés,
comme les commissariats, les
gendarmeries, services dépar‐
tementaux d’incendie et de se‐
cours, sites industriels à
risque... Stéphane Filipovitch,
directeur délégué de l’hôpital
de Fourmies explique : « nous
faisons partie des établisse‐
ments sanitaires pour lesquels
le gouvernement garantit la
continuité électrique ». En re‐
vanche, pour l’EHPAD Victor Delloue, « ce n’est pas aussi
clair. De ce fait, par principe de sécurité, nous nous sommes
équipés d’un très gros groupe
électrogène ».ON A BALAYÉ TOUS
LES PROBLÈMES 
A l’EHPAD Les Vertes années,
à Wignehies, le directeur, Phi‐
lippe Pelletier, a préféré antici‐
per, « car on est usager priori‐
taire numéro trois, après les
hôpitaux et maisons de santé.
Donc on n’est pas vraiment à
l’abri. Alors, le 12 décembre
j’ai réuni les responsables
techniques, des soins et de la
cuisine pour balayer tous les
problèmes qu’une coupure
d’électricité pourrait engen‐
drer et comment réagir ».
DES
CONSÉQUENCES
MULTIPLES 
Car, sans électricité, les consé‐
quences seraient multiples :
pas de chauffage, des volets
qui restent fermés et des rési‐
dents qui seraient dans le noir.
Certains, selon leur état de
santé, pourraient céder à la pa‐
nique. « Nous avons d’ailleurs
sollicité les familles pour
qu’elles achètent des lampes
de poche pour ne pas être en
difficulté ». Les ascenseurs se‐
raient bloqués. Le portage des
repas aux résidents des étages
devrait éventuellement se faire
par les escaliers, si les ascen‐
seurs ne fonctionnent pas.
Côté congélateurs, « on a une
autonomie de 36 heures et on a
un stock tampon. Pour la cui‐
sine, on a même prévu de la
vaisselle jetable ». Autre pro‐
blème qui pourrait se poser, la
sécurité incendie. « Le système
de détection fonctionnera tou‐
jours mais pas le désenfumage
». Enfin, fort heureusement, «
nous n’avons pas de résident
sous oxygène ».
En cas de coupure
d’électricité, « nous serons
normalement prévenus 48
heures à l’avance. On s’est
également mis sur Ecowatt,
qui nous permet d’avoir un sui‐
vi 72 heures à l’avance ». Enfin
Philippe Pelletier s’est rappro‐
ché du maire. « Il est en
contact avec les services de la
préfecture et pourrait être in‐
formé avant nous ».
POUR LES
PERSONNES SOUS
RESPIRATEUR 
Enedis estime que les per‐
sonnes sous respirateur artifi‐
ciel ne sont pas prioritaires en
cas de coupure d’électricité.
Mais le gestionnaire du réseau
de distribution d’électricité as‐
sure qu’il préviendra les ma‐
lades en cas de délestage. Et
de rappeler que ces appareils
disposent de batteries et qu’il
faut mettre le matériel sur le
secteur le plus souvent pos‐
sible pour recharger les batte‐
ries et bénéficier d’autonomie
en cas de coupure.
Dans les maga‐
sins, les rayons
bougiesont été
dévalisés.

",Factuel,factuel,neutre,True
