Date;Territoire;Sujet;Thème;Qualité du retour;Média;Articles
02/01/2023;Pas-de-Calais;Une maison à l'abandon détruite dans un incendie;Divers;Factuel;La voix du Nord;OYELLES-GODAULT, II 
02/01/2023;Pas-de-Calais;Trois familles relogées après un court-circuit;Divers;Factuel;La voix du Nord;Trois familles relogées après un court-circuit 
02/01/2023;Nord;Suite à une panne, 179 foyers privés de courant;Réseau;Factuel négatif;La voix du Nord;Suite à une panne, 179 foyers privés de courant D 
02/01/2023;Pas-de-Calais;Plus de coupures d'électricité, mais des dégâts à indemniser par Isabelle Mastin;réseau;Négatif;La voix du Nord;Plus de coupures d'électricité, mais des dégâts à indemniser par Isabelle Mastin be- thune@lavoixdunord.fr Ri- chebourg 
02/01/2023;Pas-de-Calais;Les décharges remplacées par deux centrales photovoltaïques;Transition écologique;Factuel;La voix du Nord;photovoltaïques? 
02/01/2023;Pas-de-Calais;Une tempête Eunice qui a laissé des traces;Aléas climatiques;Positif;La voix du Nord;Une tempête Eunice qui a laissé des trace Vendredi 18 février. La 
02/01/2023;Pas-de-Calais;Le feu dans un immeuble désaffecté;Divers;Factuel;La voix du Nord; HELLE, Pompiers, po- 
04/01/2023;Hauts-de-France;Enedis renouvelle son réseau dans plusieurs rues;Raccordement;Factuel;Nord Littoral;Enedis renouvelle son réseau dans plusieurs rues. Circulation Enedis renou-velle son réseau dans plu-sieurs rues. A partir d'aujourd'hui jusqu'au vendre-di 31 mars, Enedis 
04/01/2023;Pas-de-Calais;Des coupures de courant en raison des travaux;Réseau;Factuel;L'avenir de l'Artois;Des coupures de courant en raison des travauxFouquières-lès-Lens Des coupures de courant en raison des travaux Enedis 
05/01/2023;Nord;les coupures d'électricité inquiètent;Réseau;Factuel;Le courrier de fourmis;COMMENT SE PREPARE-T-ON ? 
05/01/2023;Pas-de-Calais;Haut-Pont: une centaine de foyer privés de connexion;Réseau;Factuel positif;L'independant;Saint-Omer Haut-Pont: une centaine 
05/01/2023;Nord;la mise au point du maire, Frédéric Chéreau;Réseau;Factuel;L'observateur du Douaisis;GENS DU VOYAGE PRES DE DUACOM
