Date;Territoire;Sujet;Thème;Qualité du retour;Média;Articles
02/01/2023;Pas-de-Calais;Une maison à l'abandon détruite dans un incendie;Divers;Factuel;La voix du Nord;OYELLES-GODAULT, II 
02/01/2023;Pas-de-Calais;Trois familles relogées après un court-circuit;Divers;Factuel;La voix du Nord;Trois familles relogées après un court-circuit 
02/01/2023;Essonne;Suite à une panne, 179 foyers privés de courant;Réseau;Factuel négatif;La voix du Nord;Suite à une panne, 179 foyers privés de courant D 
02/01/2023;Pas-de-Calais;Plus de coupures d'électricité, mais des dégâts à indemniser par Isabelle Mastin;réseau;Négatif;La voix du Nord;Plus de coupures d'électricité, mais des dégâts à indemniser par Isabelle Mastin be- thune@lavoixdunord.fr Ri- chebourg 
02/01/2023;Pas-de-Calais;Les décharges remplacées par deux centrales photovoltaïques;Transition écologique;Factuel;La voix du Nord;photovoltaïques? 
02/01/2023;Pas-de-Calais;Une tempête Eunice qui a laissé des traces;Aléas climatiques;Positif;La voix du Nord;Une tempête Eunice qui a laissé des trace Vendredi 18 février. La 
02/01/2023;Pas-de-Calais;Le feu dans un immeuble désaffecté;Divers;Factuel;La voix du Nord; HELLE, Pompiers, po- 
04/01/2023;Hauts-de-France;Enedis renouvelle son réseau dans plusieurs rues;Raccordement;Factuel;Nord Littoral;Enedis renouvelle son réseau dans plusieurs rues. Circulation Enedis renou-velle son réseau dans plu-sieurs rues. A partir d'aujourd'hui jusqu'au vendre-di 31 mars, Enedis 
04/01/2023;Pas-de-Calais;Des coupures de courant en raison des travaux;Réseau;Factuel;L'avenir de l'Artois;Des coupures de courant en raison des travauxFouquières-lès-Lens Des coupures de courant en raison des travaux Enedis 
05/01/2023;Nord;les coupures d'électricité inquiètent;Réseau;Factuel;Le courrier de fourmis;COMMENT SE PREPARE-T-ON ? 
05/01/2023;Pas-de-Calais;Haut-Pont: une centaine de foyer privés de connexion;Réseau;Factuel positif;L'independant;Saint-Omer Haut-Pont: une centaine 
05/01/2023;Nord;la mise au point du maire, Frédéric Chéreau;Réseau;Factuel;L'observateur du Douaisis;GENS DU VOYAGE PRES DE DUACOM
06/01/2023;Gironde;Inondations après de fortes pluies;Aléas climatiques;Négatif;Sud Ouest;Plusieurs quartiers de Bordeaux touchés par les inondations
06/01/2023;Rhône;Un nouveau parc éolien inauguré;Transition écologique;Positif;Le Progrès;Le parc éolien de Saint-Priest produit désormais de l'électricité
07/01/2023;Haute-Garonne;Grève des transports en commun;Transport;Négatif;La Dépêche du Midi;Les usagers mécontents des perturbations
07/01/2023;Bouches-du-Rhône;Un festival culturel annulé;Culture;Négatif;La Provence;Le festival d'Aix-en-Provence annulé en raison de la météo
08/01/2023;Loire-Atlantique;Un nouveau centre commercial ouvert;Économie;Positif;Ouest-France;Le centre commercial Atlantis attire des milliers de visiteurs
08/01/2023;Hérault;Un incendie dans une usine chimique;Divers;Factuel;Midi Libre;Les pompiers interviennent pour maîtriser les flammes
09/01/2023;Isère;Une panne d'électricité géante;Réseau;Factuel négatif;Le Dauphiné Libéré;Des milliers de foyers privés de courant
09/01/2023;Var;Un nouveau parc naturel protégé;Environnement;Positif;Var-Matin;Le parc naturel de l'Esterel est désormais protégé
10/01/2023;Finistère;Une tempête cause des dégâts;Aléas climatiques;Négatif;Le Télégramme;Des arbres arrachés et des toitures endommagées
10/01/2023;Morbihan;Un nouveau port de plaisance inauguré;Économie;Positif;Ouest-France;Le port de Vannes accueille désormais plus de bateaux
11/01/2023;Indre-et-Loire;Un festival de musique annulé;Culture;Négatif;La Nouvelle République;Le festival de Tours annulé en raison de problèmes financiers
11/01/2023;Vendée;Un nouveau parc éolien en projet;Transition écologique;Factuel;Ouest-France;Le projet de parc éolien de Noirmoutier en discussion
12/01/2023;Yvelines;Un accident de train cause des perturbations;Transport;Négatif;Le Parisien;Des retards importants sur la ligne Paris-Versailles
12/01/2023;Seine-Maritime;Un nouveau musée ouvert;Culture;Positif;Paris Normandie;Le musée du Havre attire déjà de nombreux visiteurs
13/01/2023;Haute-Savoie;Une avalanche cause des dégâts;Aléas climatiques;Négatif;Le Dauphiné Libéré;Plusieurs chalets endommagés à Chamonix
13/01/2023;Alpes-Maritimes;Un festival de cinéma annulé;Culture;Négatif;Nice-Matin;Le festival de Cannes annulé en raison de la météo
14/01/2023;Pyrénées-Atlantiques;Un nouveau parc naturel protégé;Environnement;Positif;Sud Ouest;Le parc naturel des Pyrénées est désormais protégé
14/01/2023;Hautes-Pyrénées;Un festival de musique annulé;Culture;Négatif;La Dépêche du Midi;Le festival de Tarbes annulé en raison de problèmes financiers
15/01/2023;Corrèze;Un nouveau parc éolien inauguré;Transition écologique;Positif;La Montagne;Le parc éolien de Brive produit désormais de l'électricité
15/01/2023;Creuse;Un accident de la route cause des perturbations;Transport;Négatif;La Montagne;Des retards importants sur la route nationale
16/01/2023;Lot;Un nouveau musée ouvert;Culture;Positif;La Dépêche du Midi;Le musée de Cahors attire déjà de nombreux visiteurs
16/01/2023;Tarn-et-Garonne;Un festival de cinéma annulé;Culture;Négatif;La Dépêche du Midi;Le festival de Montauban annulé en raison de la météo
17/01/2023;Aveyron;Un nouveau parc naturel protégé;Environnement;Positif;Centre Presse;Le parc naturel des Causses est désormais protégé
17/01/2023;Gard;Un incendie dans une usine chimique;Divers;Factuel;Midi Libre;Les pompiers interviennent pour maîtriser les flammes
18/01/2023;Lozère;Une panne d'électricité géante;Réseau;Factuel négatif;Midi Libre;Des milliers de foyers privés de courant
18/01/2023;Ardèche;Un nouveau parc éolien inauguré;Transition écologique;Positif;Le Dauphiné Libéré;Le parc éolien de Privas produit désormais de l'électricité
19/01/2023;Drôme;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Valence-Grenoble
19/01/2023;Vaucluse;Un nouveau musée ouvert;Culture;Positif;La Provence;Le musée d'Avignon attire déjà de nombreux visiteurs
20/01/2023;Alpes-de-Haute-Provence;Un festival de musique annulé;Culture;Négatif;La Provence;Le festival de Digne-les-Bains annulé en raison de problèmes financiers
20/01/2023;Var;Un nouveau parc naturel protégé;Environnement;Positif;Var-Matin;Le parc naturel de l'Esterel est désormais protégé
21/01/2023;Hautes-Alpes;Une avalanche cause des dégâts;Aléas climatiques;Négatif;Le Dauphiné Libéré;Plusieurs chalets endommagés à Briançon
21/01/2023;Alpes-Maritimes;Un festival de cinéma annulé;Culture;Négatif;Nice-Matin;Le festival de Cannes annulé en raison de la météo
22/01/2023;Pyrénées-Orientales;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel des Pyrénées-Orientales est désormais protégé
22/01/2023;Aude;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Carcassonne annulé en raison de problèmes financiers
23/01/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Montpellier produit désormais de l'électricité
23/01/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
24/01/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Mende attire déjà de nombreux visiteurs
24/01/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Privas annulé en raison de la météo
25/01/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Vercors est désormais protégé
